mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_knn__metric,param_knn__n_neighbors,param_knn__weights,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.19286623001098632,0.0050511951554706854,5.511277151107788,0.04401381818443397,euclidean,3,distance,0.95,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 3, 'knn__weights': 'distance', 'pca__n_components': 0.95}",0.976,0.9775,0.9755,0.97325,0.9715833333333334,0.9747666666666668,0.002095895459649126,5
0.210451078414917,0.006188777891237201,10.067224216461181,0.23048715378633544,euclidean,3,distance,0.99,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 3, 'knn__weights': 'distance', 'pca__n_components': 0.99}",0.9739166666666667,0.9744166666666667,0.9743333333333334,0.9696666666666667,0.9696666666666667,0.9724,0.002238178823160582,15
0.18957023620605468,0.0027055138731524337,3.770026445388794,0.04151785214714411,euclidean,5,uniform,0.9,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 5, 'knn__weights': 'uniform', 'pca__n_components': 0.9}",0.97475,0.9761666666666666,0.9745833333333334,0.9711666666666666,0.9725,0.9738333333333333,0.0017740412120980237,8
0.19789881706237794,0.0034417061996002965,5.627852249145508,0.07975638115057784,euclidean,5,uniform,0.95,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 5, 'knn__weights': 'uniform', 'pca__n_components': 0.95}",0.9720833333333333,0.9743333333333334,0.97275,0.96925,0.9695,0.9715833333333332,0.001947220240924674,18
0.20995445251464845,0.004356579661893971,10.260422897338866,0.12545070453852944,euclidean,5,uniform,0.99,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 5, 'knn__weights': 'uniform', 'pca__n_components': 0.99}",0.96975,0.9720833333333333,0.9710833333333333,0.9670833333333333,0.9675,0.9695,0.0019536291016123367,32
0.1931623935699463,0.0007192613243329456,3.807442378997803,0.03720369579266363,euclidean,5,distance,0.9,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 5, 'knn__weights': 'distance', 'pca__n_components': 0.9}",0.97675,0.9776666666666667,0.9766666666666667,0.9725833333333334,0.9733333333333334,0.9754000000000002,0.00203810914547991,2
0.1992575168609619,0.0028846926267330356,5.762313413619995,0.06880851812892741,euclidean,5,distance,0.95,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 5, 'knn__weights': 'distance', 'pca__n_components': 0.95}",0.9734166666666667,0.9755833333333334,0.9743333333333334,0.9708333333333333,0.9703333333333334,0.9728999999999999,0.0020189381147303976,10
0.21853923797607422,0.004465343664609682,10.236313819885254,0.08719849328490162,euclidean,5,distance,0.99,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 5, 'knn__weights': 'distance', 'pca__n_components': 0.99}",0.9715,0.97325,0.9729166666666667,0.9685833333333334,0.9684166666666667,0.9709333333333333,0.002072572207561283,23
0.19236154556274415,0.003051527392361037,3.8290858268737793,0.05452215749573413,euclidean,7,uniform,0.9,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 7, 'knn__weights': 'uniform', 'pca__n_components': 0.9}",0.9734166666666667,0.97525,0.97425,0.9696666666666667,0.9708333333333333,0.9726833333333333,0.0021025117254263952,14
0.19972600936889648,0.002193439497088627,5.676977968215942,0.05844398852646977,euclidean,7,uniform,0.95,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 7, 'knn__weights': 'uniform', 'pca__n_components': 0.95}",0.97125,0.97325,0.9719166666666667,0.9666666666666667,0.968,0.9702166666666667,0.0024768932153001505,29
